active,area,configid,lat,long,meter number,sub area,zone
1,Route 07,979,39.97237,-83.004074,WBB72,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 08,982,39.961456,-82.994,SQ102,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96145,-82.99522,EL213,OAK ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.972256,-83.00409,WBB69,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.972244,-83.00391,WBB63,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.972248,-83.003815,WBB59,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.97195,-83.00325,WDD7,WALL ST N,"Columbus, OH Default Zone"
1,Route 08,982,39.961437,-82.99528,EL211,OAK ST E,"Columbus, OH Default Zone"
1,Route 01,1675,39.96774,-82.99986,EV63,Chestnut St E,"Columbus, OH Default Zone"
0,Route 01,1675,39.96772,-83.00146,EV3,Chestnut St E,"Columbus, OH Default Zone"
1,Route 30,980,0.0,0.0,ET500,SPRING ST E,"Columbus, OH Default Zone"
1,Route 30,980,0.0,0.0,ET425,SPRING ST E,"Columbus, OH Default Zone"
1,Route 06,4269,39.96371,-82.988686,EN620,BROAD ST E,"Columbus, OH Default Zone"
1,Route 27,980,39.97072,-82.99311,NS592,SIXTH ST N,"Columbus, OH Default Zone"
1,Route 25,979,39.98684,-83.00533,K946,HIGH ST N,"Columbus, OH Default Zone"
1,Route 26,979,39.986137,-83.00575,F11,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 25,979,39.985806,-83.00539,K913,HIGH ST N,"Columbus, OH Default Zone"
1,Route 25,979,39.98648,-83.00527,K934,HIGH ST N,"Columbus, OH Default Zone"
1,Route 25,979,39.98447,-83.00487,K828,HIGH ST N,"Columbus, OH Default Zone"
1,Route 25,979,39.98064,-83.00374,K1465,PEARL ST,"Columbus, OH Default Zone"
1,Route 25,979,39.985687,-83.00535,K909,HIGH ST N,"Columbus, OH Default Zone"
1,Route 26,979,39.986286,-83.00565,F35,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 26,979,39.986282,-83.00559,F33,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 26,979,39.986107,-83.00575,F10,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 25,979,39.986668,-83.0053,K940,HIGH ST N,"Columbus, OH Default Zone"
1,Route 26,979,39.98604,-83.006,F19,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 25,979,39.986546,-83.00528,K936,HIGH ST N,"Columbus, OH Default Zone"
1,Route 26,979,39.986282,-83.00553,F31,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 26,979,39.98609,-83.006,F27,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 25,979,39.98447,-83.00511,K859,HIGH ST N,"Columbus, OH Default Zone"
1,Route 25,979,39.982586,-83.00421,K293,SECOND AVE E,"Columbus, OH Default Zone"
1,Route 26,979,39.986294,-83.00588,F42,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 25,979,39.982983,-83.005196,K240,STARR AVE W,"Columbus, OH Default Zone"
1,Route 26,979,39.98604,-83.006004,F25,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 26,979,39.98612,-83.006,F28,GREENWOOD LOT,"Columbus, OH Default Zone"
1,Route 27,980,39.96863,-82.99297,EX405,NAGHTEN ST E,"Columbus, OH Default Zone"
0,Route 27,4079,39.961178,-82.998795,EX509,NAGHTEN ST E,"Columbus, OH Default Zone"
1,Route 27,980,39.96928,-82.99269,EY403,MT VERNON AVE E,"Columbus, OH Default Zone"
1,Route 27,980,39.96933,-82.994,EY357,MT VERNON AVE E,"Columbus, OH Default Zone"
1,Route 27,980,39.96924,-82.9916,EY509,MT VERNON AVE E,"Columbus, OH Default Zone"
1,Route 27,980,39.96934,-82.991264,EY510,MT VERNON AVE E,"Columbus, OH Default Zone"
1,Route 27,980,39.96808,-82.993195,NS360,SIXTH ST N,"Columbus, OH Default Zone"
1,Route 27,980,39.96944,-82.99388,EY362,MT VERNON AVE E,"Columbus, OH Default Zone"
1,Route 27,980,39.968273,-82.99323,NS366,SIXTH ST N,"Columbus, OH Default Zone"
1,Route 27,980,39.96845,-82.99327,NS372,SIXTH ST N,"Columbus, OH Default Zone"
1,Route 27,980,39.96753,-82.99447,NR351,NEILSTON ST N,"Columbus, OH Default Zone"
1,Route 27,980,39.96783,-82.99315,NS352,SIXTH ST N,"Columbus, OH Default Zone"
1,Route 27,980,39.968327,-82.99324,NS368,SIXTH ST N,"Columbus, OH Default Zone"
1,Route 27,980,39.96864,-82.99313,EX401,NAGHTEN ST E,"Columbus, OH Default Zone"
1,Route 27,980,39.96863,-82.99292,EX407,NAGHTEN ST E,"Columbus, OH Default Zone"
1,Route 27,980,39.96883,-82.99556,EX306,NAGHTEN ST E,"Columbus, OH Default Zone"
1,Route 27,980,39.96778,-82.99452,NR359,NEILSTON ST N,"Columbus, OH Default Zone"
